Α001 , Γλώσσα , Α , 3
Β001 , Γλώσσα , Β , 2
Γ001 , Γλώσσα , Γ , 2
Α002 , Λογοτεχνία , Α , 2
Β002 , Λογοτεχνία , Β , 2
Γ002 , Λογοτεχνία , Γ , 2
Α003 , Αρχαία , Α , 2
Β003 , Αρχαία , Β , 2
Γ003 , Αρχαία , Γ , 2
Α004 , Οδύσσεια , Α ,2
Β004 , Ηλιάδα , Β , 2
Γ004 , Ελένη , Γ , 2
Α005 , Μαθηματικά , Α , 4
Β005 , Μαθηματικά , Β , 4
Γ005 , Μαθηματικά , Γ , 4
Α006 , Φυσική , Α , 1
Β006 , Φυσική , Β , 2
Γ006 , Φυσική , Γ , 2
Α007 , Οικιακή Οικονομία , Α , 1
Β007 , Χημεία , Β , 1
Γ007 , Χημεία , Γ , 1
Α008 , Βιολογία , Α , 2
Β008 , Βιολογία , Β , 2
Γ008 , Βιολογία , Γ , 2
Α009 , Γεωγραφία , Α , 1
Β009 , Γεωγραφία , Β , 1
Γ009 , ΚΠΑ , Γ , 2
Α010 , Ιστορία , Α , 2
Β010 , Ιστορία , Β , 2
Γ010 , Ιστορία , Γ , 2
Α011 , Θρησκευτικά , Α , 2
Β011 , Θρησκευτικά , Β , 2
Γ011 , Θρησκευτικά , Γ , 2
Α012 , Αγγλικά , Α , 2
Β012 , Αγγλικά , Β , 2
Γ012 , Αγγλικά , Γ , 2
Α013 , Γαλλικά , Α , 2
Β013 , Γαλλικά , Β , 2
Γ013 , Γαλλικά , Γ , 2
Α014 , Γυμναστική , Α , 2
Β014 , Γυμναστική , Β , 2
Γ014 , Γυμναστική , Γ , 2
Α015 , Τεχνολογία , Α , 1
Β015 , Τεχνολογία , Β , 1
Γ015 , Τεχνολογία , Γ , 1
Α016 , Πληροφορική , Α , 2
Β016 , Πληροφορική , Β , 2
Γ016 , Πληροφορική , Γ , 2
Α017 , Μουσική , Α , 1
Β017 , Μουσική , Β , 1
Γ017 , Μουσική , Γ , 1
Α018 , Τέχνη , Α , 1
Β018 , Τέχνη , Β , 1
Γ018 , Τέχνη , Γ , 1
Α019 , Σεξουαλική Αγωγή , Α , 2
Β019 , Σεξουαλική Αγωγή , Β , 2
Γ019 , Σεξουαλική Αγωγή , Γ , 2
